Problem,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,bRate,TEST_TRAIN
12219,24,1.0,24,-,1,37,0.6,13,Symm,6,0,3.4,11.78940202,-11.0,15.5,9.571428571,0.541666667,1,0.2232,0.2052,0.707,0.0,0.0,0,3.4,3.4,0.0,0.7652,0.575,TRAIN
1388,11,1.0,11,-,1,18,0.75,-9,Symm,8,0,0.25,11.74734012,-20.0,10.5,4.0,0.0,1,0.4992,0.5052,0.7732,-0.2431,-0.2495,0,0.25,0.25,-15.25,0.5164,0.568421053,TRAIN
3151,10,0.8,-20,-,1,13,0.9,-35,-,1,0,4.2,2.4,-15.0,3.0,-6.0,0.571428571,1,0.8038,0.8002,0.0104,0.0974,0.1055,0,4.2,4.2,9.6,0.7612,0.625,TRAIN
11021,9,1.0,9,-,1,21,0.25,20,-,1,0,11.25,0.433012702,11.0,12.0,11.5,0.45,1,1.0,1.0,1.0,0.0,0.0,1,11.25,11.25,0.0,1.0,0.946666667,TRAIN
1761,26,1.0,26,-,1,58,0.2,16,Symm,8,0,-1.6,16.81041344,-10.0,35.5,27.33333333,0.615384615,1,-0.6006,-0.6054,0.7754,0.0,0.0,0,-1.6,-1.6,7.11e-15,0.5054,0.666666667,TRAIN
11237,73,0.01,25,-,1,39,0.4,9,-,1,-1,-4.48,9.920998759,-16.0,-34.0,-25.0,0.36,1,-0.2328,-0.2024,-1.0,0.0,0.0,0,-4.48,-4.48,0.0,0.1964,0.2125,TRAIN
1137,-4,1.0,-4,-,1,0,0.9,-21,R-skew,7,0,1.9,18.05242366,-17.0,124.0,26.125,0.19047619,1,-0.3156,-0.3153,0.3779,0.226,0.2272,0,1.9,1.9,47.5875,0.6289,0.6125,TRAIN
13644,-3,1.0,-3,-,1,11,0.75,-41,Symm,6,0,1.0,22.5374688,-38.0,16.5,6.571428571,0.073170732,1,0.4906,0.5006,0.708,0.7509,0.7467,0,1.0,1.0,81.75,0.6294,0.84,TRAIN
6926,16,1.0,16,-,1,73,0.2,-5,-,1,0,-5.4,31.2,-21.0,57.0,18.0,0.0,1,-0.604,-0.6014,0.002,-0.7994,-0.7979,0,-5.4,-5.4,-124.8,0.2381,0.258823529,TRAIN
9317,19,1.0,19,-,1,31,0.75,-6,-,1,0,2.75,16.02146997,-25.0,12.0,-6.5,0.0,1,0.515,0.5074,0.0002,-0.248,-0.2496,0,2.75,2.75,-18.5,0.5345,0.575,TRAIN
8990,10,1.0,10,-,1,15,0.99,-17,-,1,0,4.68,3.183959799,-27.0,5.0,-11.0,0.0,1,0.9814,0.9804,0.0274,-0.0112,-0.0103,0,4.68,4.68,-0.64,0.7079,0.564705882,TRAIN
9549,27,1.0,27,-,1,40,0.9,33,-,1,0,12.3,2.1,6.0,13.0,9.5,0.818181818,1,1.0,1.0,1.0,0.0,0.0,1,12.3,12.3,0.0,1.0,0.88,TRAIN
9426,-1,1.0,-1,-,1,42,0.2,-2,-,1,0,7.8,17.6,-1.0,43.0,21.0,0.5,1,-0.6018,-0.592,-0.0252,0.2023,0.2009,0,7.8,7.8,17.6,0.9719,0.7,TRAIN
5938,9,1.0,9,-,1,14,0.9,-38,Symm,6,0,-0.2,15.63601612,-47.0,7.5,-2.428571429,0.0,1,0.7986,0.8008,0.7054,-0.0949,-0.1006,0,-0.2,-0.2,-10.9,0.5727,0.736842105,TRAIN
6208,1,0.01,-8,-,1,-18,0.95,-36,-,1,0,-10.99,3.027520356,-28.0,-19.0,-23.5,0.222222222,1,-1.0,-1.0,-1.0,-0.0107,-0.0104,-1,-10.99,-10.99,-0.74,0.0,0.1375,TRAIN
8471,15,1.0,15,-,1,30,0.75,-24,-,1,0,1.5,23.3826859,-39.0,15.0,-12.0,0.0,1,0.5022,0.4946,-0.0022,-0.2538,-0.2482,0,1.5,1.5,-27.0,0.4965,0.3625,TRAIN
9775,3,1.0,3,-,1,6,0.1,5,Symm,6,0,2.1,0.463680925,0.5,5.5,2.857142857,0.857142857,1,1.0,1.0,1.0,0.0,0.0,1,2.1,2.1,0.0,1.0,0.92,TRAIN
8682,12,1.0,12,-,1,15,0.8,6,L-skew,5,0,1.2,7.704544114,-23.0,7.0,-3.833333333,0.0,1,0.3934,0.4188,0.0098,-0.0537,-0.05,0,1.2,1.2,-3.0,0.5094,0.6375,TRAIN
6078,24,0.25,-21,-,1,13,0.25,-5,-,1,0,9.25,-11.69134295,16.0,-11.0,2.5,0.238095238,1,0.5002,0.4906,-0.0082,0.0,-0.0012,0,9.25,9.25,0.0,0.8378,0.7625,TRAIN
13597,24,0.6,-6,-,1,24,0.4,5,-,1,0,0.6,-5.388877434,11.0,0.0,5.5,0.0,1,0.1959,0.0535,0.5064,0.3907,0.4017,0,0.6,0.6,24.0,0.6584,0.6625,TRAIN
4894,25,1.0,25,-,1,85,0.4,-15,-,1,0,0.0,48.98979486,-40.0,60.0,10.0,0.0,1,-0.2096,-0.182,0.0062,-0.5968,-0.5954,0,0.0,0.0,-120.0,0.3848,0.164705882,TRAIN
4603,15,1.0,15,-,1,52,0.5,-26,-,1,0,-2.0,39.0,-41.0,37.0,-2.0,0.0,1,0.0016,0.0054,-0.0056,-0.501,-0.5051,0,-2.0,-2.0,-78.0,0.3483,0.477777778,TRAIN
11999,16,0.9,-20,-,1,25,0.25,12,L-skew,2,0,2.85,-5.148672722,32.0,10.0,22.66666667,0.0,1,-0.3076,-0.359,1.0,0.1016,0.1015,0,2.85,2.85,9.2,0.7618,0.7875,TRAIN
11793,9,1.0,9,-,1,54,0.5,-18,L-skew,5,0,9.0,36.40054945,-27.0,49.0,27.66666667,0.0,1,-0.0058,0.0068,0.664,-0.508,-0.5023,0,9.0,9.0,-76.0,0.5571,0.420833333,TRAIN
6387,9,1.0,9,-,1,8,0.99,7,-,1,0,-1.01,0.099498744,-2.0,-1.0,-1.5,0.777777778,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-1.01,-1.01,0.0,0.0,0.026666667,TRAIN
8070,14,0.8,-6,-,1,44,0.2,15,Symm,6,0,10.8,3.610770862,21.0,32.5,35.85714286,0.0,1,1.0,1.0,1.0,0.1974,0.2026,1,10.8,10.8,21.0,1.0,0.875,TRAIN
3485,9,1.0,9,-,1,86,0.1,1,-,1,0,0.5,25.5,-8.0,77.0,34.5,0.111111111,1,-0.7978,-0.8038,0.0088,0.0,0.0,0,0.5,0.5,0.0,0.2986,0.352941176,TRAIN
9703,55,0.1,-15,-,1,12,0.25,-13,-,1,0,1.25,-10.17468245,2.0,-43.0,-20.5,0.866666667,1,0.8134,0.791,-0.0004,0.1491,0.151,0,1.25,1.25,21.0,0.6164,0.533333333,TRAIN
9409,85,0.25,8,-,1,27,0.4,24,-,1,0,-2.05,-31.8722842,16.0,-58.0,-21.0,0.333333333,1,0.499,0.4978,-0.0008,0.0,0.0,0,-2.05,-2.05,0.0,0.558,0.7,TRAIN
8845,6,1.0,6,-,1,79,0.1,-8,Symm,2,0,-5.3,26.10047892,-14.0,73.5,44.0,0.0,1,-0.801,-0.7976,0.3282,-0.9001,-0.9015,0,-5.3,-5.3,-157.5,0.2106,0.25,TRAIN
8573,73,0.2,-17,-,1,36,0.01,9,-,1,0,8.27,-33.31353392,26.0,-37.0,-5.5,0.0,1,0.6008,0.5912,-0.0062,0.7981,0.7954,0,8.27,8.27,144.0,0.8124,0.85,TRAIN
7172,17,0.75,-14,-,1,18,0.8,14,-,1,0,7.95,-11.82339376,28.0,1.0,14.5,0.0,1,1.0,0.7124,1.0,0.2554,0.2502,1,7.95,7.95,16.0,1.0,0.975,TRAIN
11086,18,0.25,-6,-,1,0,1.0,0,-,1,0,0.0,-10.39230485,6.0,-18.0,-6.0,0.0,1,0.5028,0.4956,-0.0162,0.4882,0.4996,0,0.0,0.0,12.0,0.645,0.611764706,TRAIN
8028,4,1.0,4,-,1,43,0.1,-1,L-skew,3,0,-0.6,13.22270774,-5.0,41.0,27.5,0.0,1,-0.8022,-0.8006,0.4992,-0.9008,-0.8952,0,-0.6,-0.6,-82.8,0.2738,0.388888889,TRAIN
10595,-5,1.0,-5,-,1,37,0.6,-40,-,1,0,11.2,37.72214204,-35.0,42.0,3.5,0.125,1,0.2054,0.1896,0.0072,0.6043,0.6033,0,11.2,11.2,92.4,0.6836,0.7,TRAIN
9116,1,1.0,1,-,1,21,0.75,5,L-skew,2,0,16.0,6.982120022,4.0,21.0,14.66666667,0.2,1,1.0,1.0,1.0,0.0,0.0,1,16.0,16.0,0.0,1.0,0.847058824,TRAIN
6954,113,0.2,-17,-,1,13,0.5,10,Symm,2,1,2.5,-50.4588965,27.0,-99.5,-36.0,0.0,1,0.6058,0.6018,-0.0182,0.8066,0.8033,0,2.5,2.5,208.0,0.7346,0.675,TRAIN
14063,15,0.95,-12,-,1,17,0.05,6,-,1,-1,-7.1,-3.487119155,18.0,2.0,10.0,0.0,1,-0.8142,-0.8914,1.0,0.0493,0.0505,0,-7.1,-7.1,2.9,0.2026,0.366666667,TRAIN
9762,111,0.05,-14,-,1,38,0.1,-12,Symm,4,0,0.75,-12.24061861,2.0,-71.5,-20.5,0.857142857,1,0.8982,0.9054,0.0098,0.0516,0.0469,0,0.75,0.75,12.5,0.6333,0.6,TRAIN
1256,17,0.2,13,-,1,25,0.6,-8,-,1,0,-2.0,14.5666323,-21.0,8.0,-6.5,0.0,1,0.182,0.1936,0.0028,-0.4052,-0.4066,0,-2.0,-2.0,-26.4,0.3463,0.45,TRAIN
8378,15,1.0,15,-,1,56,0.25,20,-,1,0,14.0,15.58845727,5.0,41.0,23.0,0.75,1,1.0,1.0,1.0,0.0,0.0,1,14.0,14.0,0.0,1.0,0.905882353,TRAIN
4349,22,1.0,22,-,1,105,0.2,3,-,1,0,1.4,40.8,-19.0,83.0,32.0,0.136363636,1,-0.6064,-0.5924,0.0004,0.0,0.0,0,1.4,1.4,0.0,0.3603,0.5375,TRAIN
2612,19,1.0,19,-,1,33,0.5,9,-,1,0,2.0,12.0,-10.0,14.0,2.0,0.473684211,1,-0.004,-0.0032,-0.0012,0.0,0.0,0,2.0,2.0,0.0,0.6051,0.682352941,TRAIN
8889,-4,1.0,-4,-,1,53,0.1,-9,R-skew,5,0,1.2,18.75526593,-5.0,83.0,52.0,0.444444444,1,-0.7918,-0.806,0.6702,0.0976,0.1,0,1.2,1.2,17.6,0.5218,0.475,TRAIN
11629,78,0.25,-19,-,1,34,0.5,-30,Symm,8,0,-3.25,-9.988563128,-11.0,-40.5,-2.611111111,0.633333333,1,-0.4908,-0.2546,-0.2168,0.2528,0.2558,0,-3.25,-3.25,54.0,0.4271,0.631578947,TRAIN
11578,10,1.0,10,-,1,18,0.6,0,R-skew,7,0,0.8,16.38780034,-10.0,128.0,30.5,0.0,1,0.1982,0.1982,0.7668,-0.3974,-0.4032,0,0.8,0.8,-55.2,0.4863,0.463157895,TRAIN
7021,98,0.01,-2,-,1,60,0.2,-5,-,1,0,9.0,16.05012563,-3.0,-38.0,-20.5,0.4,1,-0.6286,-0.596,-1.0,0.1893,0.1843,0,9.0,9.0,39.14,0.7988,0.506666667,TRAIN
10633,3,0.99,-5,-,1,13,0.75,-40,R-skew,2,0,-3.17,22.17001754,-35.0,11.0,-3.666666667,0.125,1,0.5002,0.4966,0.3294,-0.2379,-0.2408,0,-3.17,-3.17,-25.92,0.4632,0.52,TRAIN
8818,14,0.9,-24,-,1,20,0.6,10,L-skew,2,0,5.8,-6.440161293,34.0,7.0,21.66666667,0.0,1,0.4028,0.2826,1.0,0.1033,0.0994,0,5.8,5.8,9.0,0.9488,0.825,TRAIN
3578,94,0.1,4,-,1,65,0.25,4,-,1,0,6.25,-0.586225185,0.0,-29.0,-14.5,1.0,1,0.0512,0.1336,-0.4985,0.0,0.0,0,6.25,6.25,0.0,0.7166,0.626666667,TRAIN
14134,2,1.0,2,-,1,27,0.5,-8,Symm,8,0,7.5,17.52498217,-10.0,28.5,21.11111111,0.0,1,-0.008,0.0056,0.7848,-0.5021,-0.5081,0,7.5,7.5,-38.5,0.6566,0.75,TRAIN
12241,7,0.4,-3,-,1,12,0.4,2,-,1,0,5.0,0.0,5.0,5.0,5.0,0.0,1,1.0,0.5234,1.0,0.5954,0.6018,1,5.0,5.0,18.0,0.9625,0.906666667,TRAIN
13822,-4,1.0,-4,-,1,11,0.75,-33,-,1,0,4.0,19.05255888,-29.0,15.0,-7.0,0.121212121,1,0.4846,0.5078,0.01,0.756,0.7504,0,4.0,4.0,66.0,0.6555,0.75,TRAIN
5906,22,1.0,22,-,1,45,0.25,18,R-skew,3,0,2.75,11.75531795,-4.0,27.0,16.75,0.818181818,1,-0.491,-0.5078,0.4916,0.0,0.0,0,2.75,2.75,0.0,0.6944,0.526315789,TRAIN
1837,-9,1.0,-9,-,1,-1,0.6,-19,-,1,0,0.8,8.818163074,-10.0,8.0,-1.0,0.473684211,-1,0.1912,0.2028,0.0128,0.0,0.0,0,0.8,0.8,0.0,0.5615,0.64,TRAIN
9976,-7,1.0,-7,-,1,7,0.4,-19,Symm,2,0,-1.6,12.74127152,-12.0,14.5,5.333333333,0.368421053,1,-0.1866,-0.1706,0.331,0.3929,0.3965,0,-1.6,-1.6,21.2,0.4585,0.79,TRAIN
14497,108,0.1,18,-,1,32,0.95,5,Symm,6,0,3.65,-21.01543652,-13.0,-73.5,-34.85714286,0.277777778,1,0.703,0.7112,-0.2752,0.0,0.0,0,3.65,3.65,-1.42e-14,0.6626,0.745185185,TRAIN
10212,55,0.1,26,-,1,57,0.5,1,Symm,2,-1,0.1,19.30223205,-25.0,2.5,-2.166666667,0.038461538,1,0.0026,-0.0106,0.3322,0.0,0.0,0,0.1,0.1,0.0,0.4557,0.4625,TRAIN
10096,39,0.4,7,-,1,71,0.2,-2,-,1,0,-7.2,13.52326565,-9.0,32.0,11.5,0.0,1,-0.6092,-0.6064,0.0174,-0.7961,-0.8,0,-7.2,-7.2,-116.8,0.2056,0.1875,TRAIN
8624,-2,1.0,-2,-,1,89,0.25,-41,Symm,8,0,-6.5,56.29553712,-39.0,94.5,76.55555556,0.048780488,1,-0.5006,-0.5146,0.7808,0.2463,0.2469,0,-6.5,-6.5,66.75,0.3923,0.3375,TRAIN
1439,25,0.5,1,-,1,44,0.2,0,-,1,0,-4.2,5.6,-1.0,19.0,9.0,0.0,1,-0.5894,-0.5934,0.0064,-0.7962,-0.8011,0,-4.2,-4.2,-35.2,0.2527,0.275,TRAIN
6479,-5,0.8,-11,-,1,-2,0.9,-10,Symm,2,-1,3.4,0.046425965,1.0,3.5,3.333333333,0.909090909,-1,1.0,0.8004,1.0,0.0,0.0,1,3.4,3.4,0.0,0.9719,0.813333333,TRAIN
5218,-8,0.99,-18,-,1,7,0.75,-23,-,1,1,7.6,11.99539362,-5.0,15.0,5.0,0.782608696,1,0.5042,0.4846,-0.0124,0.7441,0.7412,0,7.6,7.6,45.0,0.8831,0.882352941,TRAIN
12911,14,0.2,-10,-,1,9,0.6,-34,Symm,8,-1,-3.0,11.4905192,-24.0,-1.5,2.222222222,0.294117647,1,-0.1986,0.2196,-0.2232,0.4027,0.4119,0,-3.0,-3.0,38.4,0.4998,0.6625,TRAIN
7259,17,1.0,17,-,1,18,0.5,17,-,1,0,0.5,0.5,0.0,1.0,0.5,1.0,1,0.5024,0.5036,0.5005,0.0,0.0,1,0.5,0.5,0.0,1.0,0.706666667,TRAIN
4782,23,0.99,-4,-,1,54,0.25,24,-,1,0,8.77,10.30391498,28.0,31.0,29.5,0.0,1,1.0,1.0,1.0,0.0111,0.0092,1,8.77,8.77,1.16,1.0,0.855555556,TRAIN
2357,11,0.95,4,-,1,16,0.1,11,R-skew,7,0,0.85,4.309623154,6.0,125.0,32.625,0.4,1,0.1016,0.052,1.0,0.0,0.0,1,0.85,0.85,0.0,0.9869,0.853333333,TRAIN
14092,21,0.8,16,-,1,31,0.1,19,-,1,0,0.2,1.6,3.0,10.0,6.5,0.842105263,1,-0.4052,-0.4342,1.0,0.0,0.0,0,0.2,0.2,0.0,0.6041,0.522222222,TRAIN
3166,-7,1.0,-7,-,1,8,0.75,-12,Symm,8,0,10.0,8.735702605,-5.0,18.5,12.77777778,0.583333333,1,0.5038,0.499,0.7754,0.7448,0.7497,0,10.0,10.0,35.25,0.9886,0.866666667,TRAIN
11743,26,1.0,26,-,1,43,0.5,20,Symm,2,0,5.5,11.5054335,-6.0,17.5,9.333333333,0.769230769,1,-0.0228,0.0092,0.3352,0.0,0.0,0,5.5,5.5,0.0,0.8285,0.8625,TRAIN
9074,96,0.01,14,-,1,64,0.1,17,R-skew,2,0,6.88,5.944648669,3.0,-31.0,-6.666666667,0.823529412,1,0.9824,0.9766,0.002,0.0,0.0,0,6.88,6.88,0.0,0.8138,0.894736842,TRAIN
6417,0,0.99,-20,-,1,30,0.4,-19,L-skew,2,0,0.8,22.02335476,1.0,31.0,23.66666667,0.95,1,-0.1938,-0.1976,1.0,-0.1933,-0.198,0,0.8,0.8,-9.69,0.5619,0.6625,TRAIN
10721,42,0.8,-38,-,1,119,0.2,10,L-skew,2,0,5.8,11.60229352,48.0,78.0,80.66666667,0.0,1,-0.1914,-0.2864,1.0,0.2009,0.2029,0,5.8,5.8,63.2,0.6762,0.575,TRAIN
2538,4,1.0,4,-,1,96,0.25,-32,-,1,0,-4.0,55.42562584,-36.0,92.0,28.0,0.0,1,-0.5024,-0.5006,-0.0054,-0.7458,-0.7526,0,-4.0,-4.0,-192.0,0.3058,0.325,TRAIN
11079,21,0.75,-31,-,1,50,0.2,-9,-,1,0,-5.2,1.083339502,22.0,29.0,25.5,0.290322581,1,-0.1032,-0.1964,1.0,-0.5506,-0.5435,0,-5.2,-5.2,-89.1,0.4269,0.25,TRAIN
9866,36,0.01,1,-,1,17,0.1,-6,Symm,4,0,-5.05,3.422976614,-7.0,-17.5,-6.1,0.0,1,-0.818,-0.7974,-0.403,-0.9051,-0.899,0,-5.05,-5.05,-75.6,0.0803,0.235294118,TRAIN
12294,24,1.0,24,-,1,65,0.6,-49,Symm,2,0,-4.6,55.84970904,-73.0,41.5,3.0,0.0,1,0.1998,0.1926,0.3234,-0.3958,-0.3955,0,-4.6,-4.6,-91.6,0.3733,0.55,TRAIN
13802,49,0.4,-38,-,1,-8,0.5,-9,-,1,0,-5.3,-42.12112152,29.0,-57.0,-14.0,0.236842105,1,0.187,0.2014,-0.0132,-0.3966,-0.3949,0,-5.3,-5.3,-69.6,0.4431,0.28,TRAIN
3026,103,0.05,7,-,1,19,0.25,6,-,1,0,-2.55,-15.2935498,-1.0,-84.0,-42.5,0.857142857,1,-0.5986,-0.5184,-1.0,0.0,0.0,0,-2.55,-2.55,0.0,0.2436,0.455555556,TRAIN
12896,24,1.0,24,-,1,32,0.6,-19,-,1,0,-12.4,24.98479538,-43.0,8.0,-17.5,0.0,1,0.21,0.199,0.0086,-0.4002,-0.3944,0,-12.4,-12.4,-40.8,0.0291,0.175,TRAIN
5190,-7,1.0,-7,-,1,-8,0.05,-10,Symm,8,0,-2.9,0.526782688,-4.5,2.5,-1.222222222,0.608695652,-1,-0.978,-0.9742,-0.3398,0.0,0.0,0,-2.9,-2.9,8.88e-16,0.0955,0.2625,TRAIN
12651,11,1.0,11,-,1,14,0.75,-19,-,1,0,-5.25,14.28941916,-30.0,3.0,-13.5,0.0,1,0.512,0.5,0.0008,-0.2485,-0.2485,0,-5.25,-5.25,-16.5,0.0983,0.44,TRAIN
11013,-7,1.0,-7,-,1,16,0.01,-8,R-skew,2,0,-0.76,2.390062761,-1.0,24.0,15.0,0.875,1,-0.9792,-0.98,0.3164,0.011,0.0105,0,-0.76,-0.76,0.5,0.469,0.533333333,TRAIN
7599,24,1.0,24,-,1,24,0.1,23,-,1,0,-0.9,0.3,-1.0,0.0,-0.5,0.958333333,1,-0.897,-0.8998,-0.5017,0.0,0.0,-1,-0.9,-0.9,0.0,0.0,0.277777778,TRAIN
10164,-1,0.95,-23,-,1,24,0.1,-7,Symm,6,0,-1.8,4.511929166,16.0,27.5,31.57142857,0.304347826,1,-0.7082,-0.6918,1.0,0.1,0.1024,0,-1.8,-1.8,9.9,0.5025,0.3625,TRAIN
12520,8,1.0,8,-,1,72,0.01,10,-,1,0,2.62,6.16892211,2.0,64.0,33.0,0.8,1,1.0,1.0,1.0,0.0,0.0,1,2.62,2.62,0.0,1.0,0.975,TRAIN
14037,30,1.0,30,-,1,31,0.95,-26,-,1,0,-1.85,12.42286199,-56.0,1.0,-27.5,0.0,1,0.9052,0.8976,-0.0042,-0.0495,-0.0494,0,-1.85,-1.85,-5.7,0.2205,0.28,TRAIN
10503,27,0.1,-14,-,1,25,0.2,-31,Symm,2,0,-9.9,10.10111604,-17.0,-1.5,-0.166666667,0.451612903,1,-0.7872,-0.6444,-0.665,0.1004,0.0948,0,-9.9,-9.9,11.6,0.1816,0.388235294,TRAIN
12151,22,1.0,22,-,1,36,0.75,-30,Symm,4,0,-2.5,28.58867783,-52.0,15.5,0.8,0.0,1,0.5088,0.4924,0.6056,-0.2448,-0.2481,0,-2.5,-2.5,-33.75,0.4775,0.253333333,TRAIN
7437,12,1.0,12,-,1,14,0.4,14,R-skew,5,0,2.0,4.816637832,-2.0,28.0,7.333333333,0.833333333,1,0.4833,0.5019,0.5035,0.0,0.0,0,2.0,2.0,0.0,0.8252,0.742857143,TRAIN
3879,0,1.0,0,-,1,0,1.0,0,L-skew,4,0,0.0,4.582575695,-11.0,3.0,-2.5,0.0,1,0.4958,0.5062,-0.0214,0.4982,0.5002,0,0.0,0.0,7.0,0.5137,0.7875,TRAIN
14375,-1,1.0,-1,-,1,50,0.01,-8,R-skew,2,0,-6.42,5.771793482,-7.0,52.0,31.66666667,0.125,1,-0.9786,-0.98,0.3378,0.011,0.0087,0,-6.42,-6.42,1.18,0.1908,0.3125,TRAIN
9385,19,1.0,19,-,1,38,0.6,-22,Symm,4,0,-5.0,29.40153057,-41.0,20.5,7.0,0.0,1,0.1968,0.2026,0.5876,-0.402,-0.3952,0,-5.0,-5.0,-49.2,0.371,0.425,TRAIN
3660,29,1.0,29,-,1,34,0.75,1,R-skew,5,0,-3.25,15.73809074,-28.0,31.0,4.833333333,0.034482759,1,0.492,0.5018,0.6814,0.0,0.0,0,-3.25,-3.25,0.0,0.2862,0.853333333,TRAIN
11597,-2,1.0,-2,-,1,81,0.25,-24,-,1,0,4.25,45.4663337,-22.0,83.0,30.5,0.083333333,1,-0.5062,-0.4978,0.0092,0.2558,0.251,0,4.25,4.25,52.5,0.4201,0.5875,TRAIN
10995,30,0.2,-13,-,1,1,0.2,-10,-,1,-1,-3.4,-12.8,3.0,-29.0,-13.0,0.769230769,1,0.5956,0.5892,0.0018,0.0,0.0061,0,-3.4,-3.4,0.0,0.3113,0.410526316,TRAIN
8697,98,0.01,-2,-,1,-1,1.0,-1,-,1,0,0.0,-9.949874371,1.0,-99.0,-49.0,0.5,1,0.9772,0.9816,0.0034,-0.0094,-0.0103,0,0.0,0.0,-2.0,0.5042,0.482352941,TRAIN
7594,-3,1.0,-3,-,1,20,0.5,-17,-,1,0,4.5,18.5,-14.0,23.0,4.5,0.176470588,1,-0.0038,-0.009,-0.0046,0.5101,0.4967,0,4.5,4.5,37.0,0.6307,0.6375,TRAIN
14232,15,1.0,15,-,1,33,0.5,2,-,1,0,2.5,15.5,-13.0,18.0,2.5,0.133333333,1,0.0102,-0.006,0.0202,0.0,0.0,0,2.5,2.5,0.0,0.5644,0.625,TRAIN
13230,15,0.8,-44,-,1,89,0.2,-12,-,1,0,5.0,16.8,32.0,74.0,53.0,0.272727273,1,-0.211,-0.297,1.0,-0.5995,-0.6049,0,5.0,5.0,-159.6,0.5695,0.417254902,TRAIN
14436,0,1.0,0,-,1,-4,0.75,-8,-,1,0,-5.0,1.732050808,-8.0,-4.0,-6.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-5.0,-5.0,-8.0,0.0,0.0875,TRAIN
11737,-1,1.0,-1,-,1,32,0.2,-14,-,1,0,-3.8,18.4,-13.0,33.0,10.0,0.071428571,1,-0.6002,-0.589,-0.005,0.2046,0.2034,0,-3.8,-3.8,18.4,0.303,0.375,TRAIN
2820,92,0.05,18,-,1,55,0.4,-6,Symm,4,0,-3.3,13.7608678,-24.0,-35.5,-12.2,0.0,1,-0.2952,-0.239,-0.396,-0.5965,-0.6003,0,-3.3,-3.3,-117.6,0.2975,0.466666667,TRAIN
14322,1,1.0,1,-,1,61,0.01,7,-,1,0,6.54,5.37293216,6.0,60.0,33.0,0.142857143,1,1.0,1.0,1.0,0.0,0.0,1,6.54,6.54,0.0,1.0,0.9125,TRAIN
14237,18,0.99,-26,-,1,57,0.25,12,-,1,1,5.69,15.10762686,38.0,39.0,38.5,0.0,1,-0.4934,-0.485,1.0,0.0089,0.0097,0,5.69,5.69,1.66,0.8013,0.625,TRAIN
6139,29,1.0,29,-,1,33,0.8,20,Symm,8,0,1.4,5.33291665,-9.0,7.5,2.555555556,0.689655172,1,0.6,0.5986,0.7742,0.0,0.0,0,1.4,1.4,-3.55e-15,0.7437,0.8,TRAIN
4373,47,0.4,9,-,1,24,1.0,24,Symm,2,0,-0.2,-18.11612205,14.5,-22.5,-4.0,0.382978723,1,0.2072,0.2042,0.0006,0.0,0.0,0,-0.2,-0.2,0.0,0.5206,0.6125,TRAIN
7677,0,1.0,0,-,1,44,0.05,-9,-,1,0,-6.35,11.5510822,-9.0,44.0,17.5,0.0,1,-0.9002,-0.8984,-0.0186,-0.8974,-0.8956,0,-6.35,-6.35,-47.7,0.1416,0.325,TRAIN
9287,32,0.75,24,-,1,28,0.75,17,-,1,1,-4.75,1.299038106,-7.0,-4.0,-5.5,0.708333333,1,-1.0,-1.0,-1.0,0.0,0.0,-1,-4.75,-4.75,0.0,0.0,0.2125,TRAIN
3259,30,0.2,-14,-,1,20,0.4,-31,Symm,2,0,-5.4,7.386796513,-17.0,-9.5,-5.0,0.451612903,1,-0.6004,-0.354,-0.67,0.2013,0.2013,0,-5.4,-5.4,24.4,0.3087,0.613333333,TRAIN
14064,14,1.0,14,-,1,43,0.1,11,Symm,6,0,0.2,9.606508211,-3.0,31.5,24.42857143,0.785714286,1,-0.8046,-0.8064,0.7246,0.0,0.0,0,0.2,0.2,0.0,0.5413,0.411111111,TRAIN
594,8,1.0,8,-,1,78,0.2,-7,Symm,6,0,2.0,34.00367627,-15.0,72.5,57.85714286,0.0,1,-0.6032,-0.5942,0.7114,-0.7993,-0.8017,0,2.0,2.0,-140.0,0.3342,0.2625,TRAIN
13530,31,0.5,-11,-,1,89,0.2,-23,L-skew,5,0,-10.6,23.92927776,-12.0,62.0,55.0,0.47826087,1,-0.6108,-0.6272,0.6708,-0.2907,-0.3076,0,-10.6,-10.6,-69.6,0.3842,0.2125,TRAIN
6376,14,1.0,14,-,1,20,0.95,-26,-,1,0,3.7,10.02546757,-40.0,6.0,-17.0,0.0,1,0.902,0.906,-0.002,-0.0475,-0.0464,0,3.7,3.7,-4.6,0.639,0.6,TRAIN
12140,29,0.4,22,-,1,27,0.5,15,-,1,0,-3.8,2.57071436,-7.0,-2.0,-4.5,0.681818182,1,-0.8008,-0.408,-1.0,0.0,0.0,0,-3.8,-3.8,0.0,0.1252,0.188235294,TRAIN
4751,27,1.0,27,-,1,36,0.6,20,-,1,0,2.6,7.838367177,-7.0,9.0,1.0,0.740740741,1,0.2104,0.2,0.0008,0.0,0.0,0,2.6,2.6,0.0,0.7002,0.653333333,TRAIN
